"","Time","Nickname","Book_title","Author","Publisher","Genre","Summary","Opinion","Stars","Campus","Gender","Teacher_Assessment","Plagiarism_Source","Teacher_Assessment_2","Period"
"1","08/05/2018 13:02:23","ryo","Six Sketches","Leslie Dunkling","Penguin","children's literature","There are six funny stories written.
1. I'm Right !
Norma and Corin forgot the train ticket, also ride on wrong train.
2. A Good Story
Michael's painting is sufferd. but something funny painting.
3. Cheese!
The man who buys cheese to take pictures is interesting.
4. A Good Match
Blackburn Rovers vs Manchester United.
5. Wedding day
soccer match on the wedding day. So, David don't know result.
6.The English Teacher
Story of stupid teacher","I think Norma is stupid.",1,"Tokyo","Male",2,"",NA,NA
"2","15/05/2018 12:57:50","ryo","Marcel and the Shakespeare Letters","Stephen Rabley","Pearson","children's literature","The Story of two mice. Shakespeare letter bring Professor Barton's flat.","This two mice is so clever.",1,"Tokyo","Male",1,"",NA,NA
"3","08/05/2018 05:48:55","mako","The Voyages of Sindbad Sailor","auther unknown","Pearson","action adventure","The Sindbad stories come from the Arabian Nights.
One day Sindbad went on a journey aboard a ship sailing for adventure. He and the people around landed on the island halfway through the     voyage. But it was a whale's back. Eventually only Sindbad survived. He gained treasure in the place where he survived and continued his cruise.Several times afterwards, Sindbad is swept away by an unknown island and attacked by various difficulties, but somehow survives. Moreover he did not lose to the wreck of the ship. He managed to survive wisdom and managed to survive.Twenty-seven years after the first adventure, Sindbad finally stopped adventure. He went back to Baghdad with his wife and sent happy days.","As Sindbad continued his voyage for 27 years, I also wanted to focus on the activities of the university department.",2,"Tokyo","Female",2,"",NA,NA
"4","23/04/2018 21:47:37","mako","A Death in Oxford","Richard MacAndrew","Cambridge","mystery","One day a female doctor named Janet was killed in the city of Oxford, England. Frank Williams of the criminal quests the people around the female doctor to find the criminal. Suspicious people are Elizabeth who is a barbara with his colleague and Simon, her husband and Chris of his son. They were all close friends with Janet. The criminal came into view as police questioned them. What a husband Simon was. He had a grud by his wife being hijacked money and his house. He tried to talk with Janet, but she did not listen, so he got angry and killed him. The evidence became Simon's fingerprint. Simon was arrested by this evidence as the key.
","Since I read this book and it is a close human relationship, I thought that I should not forget the courtesy and the feelings to respect others.",1,"Tokyo","Female",3,"",NA,NA
"5","04/06/2018 17:56:42","mako","Who sir? Me,sir?","K.M.Peyton","Oxford","other","The main character of this story is the four unwilling students of a public high school. The public high school they attended was low-priced because they had little money and were not smart. There was a good private high school which is rich near this high school, but it did not become a comparison. Four students went to see football with the teacher one day. They encounter a rare competition called Tetraslon. The teacher decides to compete with private high school by Tetraslon as a trigger. They had a lot of people cooperate, such as school and parents. That practice was hard and difficult, but everyone helped and got over it. Though they were falling students, motivation and love gradually started growing. They tried practicing for a year and came to the game. But they finally dyed their hands on foul play.","I thought it would be wonderful to have a goal and work hard with everyone. Because I was doing club activities, there were many parts that I sympathize with.",3,"Tokyo","Female",3,"",NA,NA
"6","15/05/2018 10:01:16","mako","A Little Princess","FRANCES HODGSON BURNETT","Oxford","other","This story is the story of the 19th century England. The main character is Sara. Her father Ralph was very rich. Nonetheless, Sara was rich, but he was intelligent, kind hearted and popular. One day Sara was informed of her father 's death and his failed work. From that point, Sara came to work as a servant and his life changed completely. But she never forted courage and did not forget the affection and kindness to friends no matter how painful or sad eyes it is. One day Sara met with Mr.Carrisford who is his father 's best friend by going to deliver the monkey who came in lost. As a result of this, Sara was taken over by his father's best friend together with his friend Becky and lived happily.","I was impressed by Sara's strong way of living. And though it was painful like Sara, I thought that happiness would come if I live positive.",2,"Tokyo","Female",4,"",NA,NA
"7","22/05/2018 10:26:11","mako","Matilda","Roald Dahl","Pearson","fantasy","Matilda is a story of a genius girl. She had amazing talent since she was small. Matilda's father was busy with work, his mother was soaked in bingo, his brother went to school, so Matilda went to the library alone. She was abandoned childcare. Matilda showed out the talent he had since he was small since he went to school. She made excellent grades in her study. Besides that, she started using super powers. Matilda disciplined the principal who did bad things using his supernatural power. And she kicked the principal out of school. As a result of this, Matilda began to live with my family and my favorite homeroom teacher.","Matilda thought that he was using a superb ability like super powers to challenge the bad principal and is a great boy.
I thought it would be fun if I had the power to move things with my eyes as well.
If I could have a child for myself, I wanted to see a child properly and become a parent who quickly notices the talent of the child.",3,"Tokyo","Female",3,"",NA,NA
"8","18/06/2018 17:49:23","mako","Heidi","Johanna Spyri","Penguin","fantasy","Alps girl Heidi is famous in Switzerland.  The main character of this story is Heidi. She lost her parents at the age of one. So she was brought up by her aunt until five years old. After she was five years old, she was taken over by her grandfather. There were various people including a boy Peter who has a goat. Heidi learned a lot from them. And she grew healthily and went. However, Heidi is taken to Frankfurt when he is 8 years old. So he was waiting for Heidi was a handicapped Klara and a strict butler, Rottenmeier. Heidi can not get used to this environment and he wants to go home. As a result, Heidi will be diagnosed as a mental illness and will return home. Heidi returned to his hometown and regained her energy. Klara starts walking exercises looking at that healthy Heidi. As a result Klara will become able to walk.","I was reading this story well when I was little. I read this story again and realized that my environment was so blessed. Also, I have never been to Switzerland, but beautiful nature came into my eyes.",2,"Tokyo","Female",3,"",NA,NA
"9","29/06/2018 13:54:51","mako","Nelson Mandela","Coleen Deanan Veness","Penguin","non-fiction","Mandela was born in 1918. He is the first black president in South Africa. Before He became president, all of the president was white people. Also in South Africa. There has been discrimination towards to African american going on. For example, if you are black you have to sit on the back of the bus or the Toilet is separated between black and white and so on. Nelson Mandela joined African National congress and try to change those situation. Because of those campaign. He was arrested and put into jail and he spent 27 years there.during he was in Jail, people try to help Nelson Mandela to get away from prison just because he was a symbol of the anti apartheid movement and this movement spread all over the world. In 1990, he finally get away from prison and 1993 he prized as Novel pease prized. In 1995, he tired put so much effort to held First FIFA World Cup in South Africa and it succsed. He died in 2013.","I was moved by Mr. Mandela 's brave action. I also wanted to act with a strong feeling like Mr. Mandela.",2,"Tokyo","Female",3,"",NA,NA
"10","11/06/2018 18:02:04","mako","The Jungle Book","Rudyard Kipling","Penguin","action adventure","This story is famous enough to be a movie many times. There was a baby abandoned by the river on the bank. The black panther that found it raises abandoned children by a group of wolves. The wolf named the human baby Mowgli. After a while the moogle grew very well. But a violent tiger came back to the jungle. As a result, the wolves try to return Mowgli to the village of man. I hated Mowgli very much and tried to go back to the jungle many times. At such time, he gets along with a bear named Baloo. Baloo gradually tries to make Mowgli his own child. But Baloo decides to take his safety back to the village of a human being. Mowgli who heard this rumor ran around the jungle. But at such time he will be caught in a violent tiger. It was a very dangerous situation. But the jungle fellows helped us. One day Mowgli follows and finds a cute girl. That was the time of parting with the fellows of the jungle and the jungle.","I was touched by the way animal and human beings help each other. I realized that animals also have feelings. I also wanted to cherish animals.",2,"Tokyo","Female",3,"",NA,NA
"11","01/05/2018 08:18:28","mako","A Christmas Carol","Charles Dickens","Pearson","fantasy","This story is set in London in the 19th century.
Scrooge of the hero had been chased by work for Christmas.
He was hated by many people because he thought of ruthless money making. On Christmas Day, Murray 's spirit who died seven years ago appears before him to advise him to correct his actions. And I advise that three spirits will appear before Scrooge. The first spirit was a spirit that shows the past. The second spirit was a spirit that shows the present. The third spirit was a spirit showing the death of Scrooge. He saw these was finally converted. And he gentle with many people. In this way Scrooge was handed down as a man who knows how to spend the most Christmas in London.","I felt I could be happier as I got more kind to others.",2,"Tokyo","Female",3,"",NA,NA
