"","Time","Nickname","Book_title","Author","Publisher","Genre","Summary","Opinion","Stars","Campus","Gender","Teacher_Assessment","Plagiarism_Source","Teacher_Assessment_2","Period"
"1","08/05/2018 13:02:23","ryo","Six Sketches","Leslie Dunkling","Penguin","children's literature","There are six funny stories written.
1. I'm Right !
Norma and Corin forgot the train ticket, also ride on wrong train.
2. A Good Story
Michael's painting is sufferd. but something funny painting.
3. Cheese!
The man who buys cheese to take pictures is interesting.
4. A Good Match
Blackburn Rovers vs Manchester United.
5. Wedding day
soccer match on the wedding day. So, David don't know result.
6.The English Teacher
Story of stupid teacher","I think Norma is stupid.",1,"Tokyo","Male",2,"",NA,NA
"2","15/05/2018 12:57:50","ryo","Marcel and the Shakespeare Letters","Stephen Rabley","Pearson","children's literature","The Story of two mice. Shakespeare letter bring Professor Barton's flat.","This two mice is so clever.",1,"Tokyo","Male",1,"",NA,NA
"3","01/05/2018 08:18:28","mako","A Christmas Carol","Charles Dickens","Pearson","fantasy","This story is set in London in the 19th century.
Scrooge of the hero had been chased by work for Christmas.
He was hated by many people because he thought of ruthless money making. On Christmas Day, Murray 's spirit who died seven years ago appears before him to advise him to correct his actions. And I advise that three spirits will appear before Scrooge. The first spirit was a spirit that shows the past. The second spirit was a spirit that shows the present. The third spirit was a spirit showing the death of Scrooge. He saw these was finally converted. And he gentle with many people. In this way Scrooge was handed down as a man who knows how to spend the most Christmas in London.","I felt I could be happier as I got more kind to others.",2,"Tokyo","Female",3,"",NA,NA
"4","15/05/2018 10:01:16","mako","A Little Princess","FRANCES HODGSON BURNETT","Oxford","other","This story is the story of the 19th century England. The main character is Sara. Her father Ralph was very rich. Nonetheless, Sara was rich, but he was intelligent, kind hearted and popular. One day Sara was informed of her father 's death and his failed work. From that point, Sara came to work as a servant and his life changed completely. But she never forted courage and did not forget the affection and kindness to friends no matter how painful or sad eyes it is. One day Sara met with Mr.Carrisford who is his father 's best friend by going to deliver the monkey who came in lost. As a result of this, Sara was taken over by his father's best friend together with his friend Becky and lived happily.","I was impressed by Sara's strong way of living. And though it was painful like Sara, I thought that happiness would come if I live positive.",2,"Tokyo","Female",4,"",NA,NA
"5","23/04/2018 21:47:37","mako","A Death in Oxford","Richard MacAndrew","Cambridge","mystery","One day a female doctor named Janet was killed in the city of Oxford, England. Frank Williams of the criminal quests the people around the female doctor to find the criminal. Suspicious people are Elizabeth who is a barbara with his colleague and Simon, her husband and Chris of his son. They were all close friends with Janet. The criminal came into view as police questioned them. What a husband Simon was. He had a grud by his wife being hijacked money and his house. He tried to talk with Janet, but she did not listen, so he got angry and killed him. The evidence became Simon's fingerprint. Simon was arrested by this evidence as the key.
","Since I read this book and it is a close human relationship, I thought that I should not forget the courtesy and the feelings to respect others.",1,"Tokyo","Female",3,"",NA,NA
"6","08/05/2018 05:48:55","mako","The Voyages of Sindbad Sailor","auther unknown","Pearson","action adventure","The Sindbad stories come from the Arabian Nights.
One day Sindbad went on a journey aboard a ship sailing for adventure. He and the people around landed on the island halfway through the     voyage. But it was a whale's back. Eventually only Sindbad survived. He gained treasure in the place where he survived and continued his cruise.Several times afterwards, Sindbad is swept away by an unknown island and attacked by various difficulties, but somehow survives. Moreover he did not lose to the wreck of the ship. He managed to survive wisdom and managed to survive.Twenty-seven years after the first adventure, Sindbad finally stopped adventure. He went back to Baghdad with his wife and sent happy days.","As Sindbad continued his voyage for 27 years, I also wanted to focus on the activities of the university department.",2,"Tokyo","Female",2,"",NA,NA
"7","22/05/2018 10:26:11","mako","Matilda","Roald Dahl","Pearson","fantasy","Matilda is a story of a genius girl. She had amazing talent since she was small. Matilda's father was busy with work, his mother was soaked in bingo, his brother went to school, so Matilda went to the library alone. She was abandoned childcare. Matilda showed out the talent he had since he was small since he went to school. She made excellent grades in her study. Besides that, she started using super powers. Matilda disciplined the principal who did bad things using his supernatural power. And she kicked the principal out of school. As a result of this, Matilda began to live with my family and my favorite homeroom teacher.","Matilda thought that he was using a superb ability like super powers to challenge the bad principal and is a great boy.
I thought it would be fun if I had the power to move things with my eyes as well.
If I could have a child for myself, I wanted to see a child properly and become a parent who quickly notices the talent of the child.",3,"Tokyo","Female",3,"",NA,NA
"8","29/05/2018 06:00:45","mako","Who,Sir? Me,Sir?'","K.M.PEYTON","Oxford","science fiction","The main character of this story is the four unwilling students of a public high school. The public high school they attended was low-priced because they had little money and were not smart. There was a good private high school which is rich near this high school, but it did not become a comparison.                    Four students went to see football with the teacher one day.                They encounter a rare competition called Tetraslon.                                The teacher decides to compete with private high school by Tetraslon as a trigger. They had a lot of people cooperate, such as school and parents. That practice was hard and difficult, but everyone helped and got over it. Though they were falling students, motivation and love gradually started growing.              They tried practicing for a year and came to the game. But they finally dyed their hands on foul play.","I thought it would be wonderful to have a goal and work hard with everyone. Because I was doing club activities, there were many parts that I sympathize with.",3,"Tokyo","Female",3,"",NA,NA
"9","04/06/2018 17:56:42","mako","Who sir? Me,sir?","K.M.Peyton","Oxford","other","The main character of this story is the four unwilling students of a public high school. The public high school they attended was low-priced because they had little money and were not smart. There was a good private high school which is rich near this high school, but it did not become a comparison. Four students went to see football with the teacher one day. They encounter a rare competition called Tetraslon. The teacher decides to compete with private high school by Tetraslon as a trigger. They had a lot of people cooperate, such as school and parents. That practice was hard and difficult, but everyone helped and got over it. Though they were falling students, motivation and love gradually started growing. They tried practicing for a year and came to the game. But they finally dyed their hands on foul play.","I thought it would be wonderful to have a goal and work hard with everyone. Because I was doing club activities, there were many parts that I sympathize with.",3,"Tokyo","Female",3,"",NA,NA
"10","23/04/2018 12:28:49","yuto_y","Johnny English","John Escott","Other","action adventure","Johnny English is a Secret Service agent. He often makes very bad mistakes. However, he got an important job: security for the Queen and her crown. There are a lot of problems. In the exhibition on the London Tower, the  crown is stolen by someone! English and Bough find kidnapper and trace them, but he mistakes kidnapper`s car. English guesses that kidnapper is Sauvage and he tries to sneak into Sauvage`s buildings. however, he penetrates into wrong buildings!  English and Bough are trapped by Sauvage, but they continue to their mission by Lorna`s help. Can they complete their mission to protect Queen and her crown?","The reason Why I chose this book is because it is movie story. It is a fiction story, but characters of this story have personality. For example, Bough, a Secret Service agent, often helps English in various situations by conceiving bright idea. It is interesting to see each character`s expectation.",4,"Tokyo","Male",4,"",NA,NA
"11","30/04/2018 11:39:38","yuto_y","Barack Obama","Andy Hopkins and Jocelyn Potter","Pearson","biography","Early on the afternoon of January 20, 2009, a man started the most difficult job of his life. His name is Barack Hussein Obama. He is the 44th president of the United States. For the first time, the country have an African-American president. On the very cold day in 2009, Obama stood in front of almost 2,000,000 people in Washington, D.C. Mrs. Obama stood next to him, and he repeated the famous words with his left hand on the Bible. The word is """"Hope,"""" """"Change,"""" and """"Yes we can."""" And people loudly repeated the words after him. The country wanted change, and it got it. ","When Obama was elected in 2009, I was elementary school student. The news made me so surprising. After eight years, he achieved many complicated problems. I think he is supported by many American people and other countries.",3,"Tokyo","Male",0,"back of book",NA,NA
"12","07/05/2018 12:24:52","yuto_y","The Long Tunnel","JOHN MILNE","Macmillan","children's literature"," Paul, Sheila and Charles are college students. One day, they have a examination, but they talk about summer vacation. They decide to visit Paul uncle's cottage in summer vacation.
 On Monday the fifth of August, Sheila and Charles arrive at Llanvoy station near the cottage. They promise to see Paul on Llanvoy station. But Paul doesn't come. Sheila and Charles walk to the cottage.
 However, when Sheila and Charles knock the cottage's door, a strange man comes out. Sheila talk to the man, but he becomes upset. Sheila and Charles waited near the cottage. After it gets dark, strange men come to the cottage!
 Who are those strange man? Can Sheila and Charles find Paul? ","I think this story is very interesting. It is because when I was reading this story, I feel fantastic. And Sheila, a girl of this story, is very brave. I think she has a important role in this story. ",4,"Tokyo","Male",3,"",NA,NA
