"","Nickname","Did.you.enjoy.reading.graded.readers.","Will.you.continue.reading.graded.readers.after.the.course.has.finished.","How.was.the.reading.graded.readers.","How.was.the.writing.about.graded.readers.","What.did.you.like.about.the.course...Check.as.many.as.you.wish..","Do.you.have.any.comments."
"1","nono","Yes, I did.","I don't know.","It was difficult for me.","It was okay.","I liked writing about graded readers.","No I do not"
"2","mai","Yes, I did.","No, I don't think so.","It was okay.","It was difficult for me.","I liked reading graded readers for homework.","Thank you!"
"3","taichi","Yes, I did.","Yes, I think so.","It was okay.","It was difficult for me.","I liked discussing graded readers in class.","I could enjoy this class. Thank you."
"4","tomoya","So so.","Yes, I think so.","It was okay.","It was difficult for me.","I liked writing about graded readers.","Book report was difficult for me."
"5","hide","Yes, very much!","I don't know.","It was okay.","It was okay.","I liked discussing graded readers in class., I liked reading graded readers for homework., I liked writing about graded readers.","Thank you very much."
"6","rio","Yes, I did.","Yes, I think so.","It was okay.","It was okay.","I liked the textbook we used in class., I liked doing class surveys.","No, I don't.Thank you."
"7","yuto_s","Yes, I did.","Yes, I think so.","It was okay.","It was difficult for me.","I liked discussing graded readers in class., I liked reading graded readers for homework.","thank you Mr.Elvin"
"8","shimpei","Yes, I did.","Yes, I think so.","It was okay.","It was difficult for me.","I liked discussing graded readers in class.","I like this class. I learned that reading English book is not difficult and we can enjoy reading. I made friends in this class."
"9","mako","Yes, I did.","No, I don't think so.","It was okay.","It was okay.","I liked discussing graded readers in class., I liked doing class surveys.","Thank you very much. Although studying English was difficult, it was fun."
"10","miku","Yes, I did.","I don't know.","It was okay.","It was difficult for me.","I liked discussing graded readers in class., I liked the textbook we used in class., I liked doing class surveys.","I liked looking for graded readers."
"11","shintaro","Yes, I did.","No, I don't think so.","It was okay.","It was difficult for me.","I liked discussing graded readers in class., I liked doing class surveys.","I enjoyed this class work."
"12","yuto_y","No, I didn't.","No, I don't think so.","It was okay.","It was okay.","I liked the textbook we used in class.","Homework for reading is too much for me to concentlate."
"13","atsuhito ","So so.","No, I don't think so.","It was okay.","It was okay.","I liked discussing graded readers in class., I liked reading graded readers for homework., I liked writing about graded readers.","I can read many kind of books for homework . It’s good for me. "
"14","sena","Yes, I did.","Yes, I think so.","It was okay.","It was difficult for me.","I liked discussing graded readers in class., I liked doing class surveys.","thank you"
